State,Initiative name,Initiative Number,Initiative status,Initiative Narrative,Initiative Metrics (Semicolon Separated),Metric Statuses (Semicolon-Separated)
NJ,Investing in technologies that bring care to where people live,3,In progress,"RHT3 funding will support innovative strategies for care delivery at sites that aren't brick-and-mortar offices. We plan to fund technology-supported digital health services across the spectrum - from periodic telehealth to ongoing remote patient monitoring, for preventative care and mental health treatment to ongoing management of chronic disease, and for patients across the digital literacy continuum. We are also interested in mobile care solutions that bring care from the office into the community. (p. 243)","Number of rural residents who benefit from RHT3-funded activities (e.g., pilots, use of digital health tools). This is a necessary process measure to ensure impact for rural New Jerseyans.;Percentage of Medicaid members with utilization of a telehealth / remote monitoring service in a year. Granularity of performance: practice-wide, county-wide, and for rural patients.;User experience surveys to assess the accessibility and usability of a RHT3-funded technology;Pre-/post-pilot or training satisfaction surveys to assess whether funded activity has led to culture change within healthcare organizations.",Active;Active;Active;Active
NJ,Focusing on preventive health interventions for rural New Jerseyans,4,In progress,"Investing in strong, evidence-based activities focused on prevention maximizes the impact of available resources to drive long-term health improvement. Preventive health interventions will strengthen rural health systems by supporting community-based organizations, healthcare providers, and public health partners to expand outreach, education, and access to care, including data modernization of systems that support those activities. Additional activities will improve and expand the operational capacity of EMS. (p. 246)","Number of rural residents who benefit from RHT4-funded preventive health efforts (e.g., screenings, community events). This is a necessary process measure to ensure impact for rural New Jerseyans.;Number of mobile direct healthcare events funded by RHT4. Depending on the type of event held, outcome measures could be added (e.g., number of screenings that lead to follow-up visit).;Percent availability of ambulances for high acuity emergencies.;Increased number of rural-serving providers trained to access and/or enter information in NJIIIS",Active;Active;Active;Active
NJ,Helping rural New Jerseyans improve chronic disease outcomes,5,In progress,"The RHT5 initiative aims to strengthen chronic disease prevention, management, and wellness in rural communities through innovative data integration, community partnerships, and evidence-based interventions. Funding will support the development of integrated data systems and public-facing dashboards, as well as competitive grant opportunities that will enable healthcare providers and community and faith-based organizations to implement and expand programs addressing chronic diseases and promoting wellness through healthy lifestyles, physical activity, and nutrition. (p. 249)","Number of rural residents who benefit from RHT5-funded activities (e.g., screenings). This is a necessary process measure to ensure impact for rural New Jerseyans.;Number of rural-serving providers with an executed use case for connection to the NJHIN.;Once public-facing dashboard is launched, monitoring the extent of website traffic over time;Number of pharmacists recruited to deliver MTM.",Active;Active;Active;Active
NM,Healthy Horizons: Expanding Specialty Care Access and Chronic Disease Management,1,In progress,"The Healthy Horizons initiative will expand access to specialty care through a combination of enhanced in-person services, e-consults, and other remote solutions. This approach will strengthen chronic disease management for rural and tribal communities in New Mexico, where limited specialty provider availability often means patients either go without the right care or face long, costly travel to urban centers. To close these gaps and promote sustainable access to high-quality care, the State will implement strategies that expand access to specialty care (e.g., in-person specialist rotations and e-consults as a key tool to connect local clinicians with specialists), improve prevention and chronic disease management, and integrate remote care
solutions where they add the greatest value. By leveraging e-consults, primary care providers and hospitals can work at the top of their license and obtain timely specialist input without requiring patients to leave their communities, ensuring care remains accessible and coordinated. New Mexico will also integrate behavioral health within chronic and maternal care networks, ensuring whole-person care across all rural and tribal communities.
A core principle of this initiative is keeping care close to home and reducing unnecessary travel and delays in specialty care. This initiative will support use of remote care tools (e.g., e-consults, telehealth, RPM) to expand access, support continuity, and reduce long travel times. The State recognizes that technology is not a universal solution. Telehealth and virtual care will be used to strengthen care for patients and providers, but never as a replacement for in-person services when those are preferred or clinically necessary. Technology will complement community-based care by enabling ongoing monitoring between visits and strengthening local provider capacity, not substituting the relationships and services rural communities rely on. Patient choice and community-based care remain top priorities for the State.
The State will prioritize the chronic conditions with greatest prevalence statewide and that demand the need for specialty care, such as arthritis (26 percent of State population), depression (23 percent), diabetes (I3 percent), asthma (9.7 percent) cardiovascular diseases (8.5 percent), cancer (7.7 percent), and chronic obstructive pulmonary disease (5.0 percent). The State will also prioritize specialties with the greatest projected shortages. These specialties are critical for managing high-risk populations and addressing complex conditions locally. Table 15 illustrates the inadequacy of specialist supply by 2030, underscoring the urgent need for targeted interventions. The State will maintain flexibility to adjust priorities as disease prevalence or provider shortages shift over time.","Specialty Care Completion Rate: Percentage of provider-to-provider specialty consults requests that result in a completed encounter within 30 days of referral (county-level);Hemoglobin A1c Control for Patients with Diabetes: The percentage of adults aged I8-75 with diabetes (type I or type 2) whose most recent HbAIc level during the measurement year is <8.0%;Depression Screening and Follow-Up for Adolescents and Adults: I) Depression Screening - percentage of persons who were screened for clinical depression using a standardized instrument; 2) Follow-Up on Positive Screen - percentage of persons who received follow-up care within 30 days of a positive depression screen finding;Postpartum Depression Screening and Follow-up: I) Depression Screening - percentage of deliveries in which persons were screened for clinical depression using a standardized instrument during the postpartum period; 2) Follow-Up on Positive Screen - percentage of deliveries in which persons received follow-up care within 30 days of a positive depression screen finding;Utilization of RPM: Percentage of patients enrolled in RPM who transmit data at least once within a defined period (e.g., weekly or monthly);Hospital Readmission Rates: Percentage of patients participating in a remote care program that return to the hospital within 30-days of discharge.",Active;Active;Active;Active;Active;Active
NM,Rooted in New Mexico: Building Tomorrow's Rural Health Workforce ,2,In progress,"The Rooted in New Mexico initiative seeks to strengthen and sustain the recruitment, training, and retention of health professionals so that care remains local for rural, frontier, and tribal communities in New Mexico.
New Mexico faces persistent and evolving workforce challenges, with several critical health professional shortages projected through 2037, as shown in Table 17. While workforce gaps are prominent across several disciplines, including maternal health, EMS, dental, and pediatric services, there are particularly high shortages among nursing, school-based, and behavioral health professions. Consistent with national trends, the State is also widely understood to experience significant shortages of direct care and personal care assistants who provide essential HCBS, even though detailed data on these roles is limited compared to other health professions. Workforce shortages are exacerbated by other issues like limited residency slots, high turnover, and other barriers to practicing in rural areas like housing availability, infrastructure for families (e.g., childcare, healthy food availability, schooling, jobs), and reliable transportation.","Rural Training Pipeline Volume and Placement: Number of rural rotations/residency slots filled, new rotation/residency slots created, apprenticeship completions, and graduates placed into rural practice (by discipline);Workforce Engagement: Number of health professionals participating in tele-supervision, individual consultations, asynchronous learning, mentoring networks, or Project ECHO sessions to support rural practice readiness (county-level);Five-Year Retention of Rural Health Workforce: Percentage of newly trained and recruited primary care, specialists, behavioral health, dental, pharmacy, EMS, allied health professionals, CHWs, peer support workers, and HCBS caregivers who commit to rural and tribal community practice for at least five years;Reduction in HPSA designations: Percentage decrease in federally designated HPSAs (at least part of or the whole county) within non-metro counties (as defined by HRSA) Note: The reported percentage reflects non-metro counties that are either fully designated as HPSAs or have partial HPSA designation within their boundaries",Active;Active;Active;Active
NM,"Rural Health Innovation Fund: Enabling Community-Designed, Community-Led Change",3,In progress,"The Rural Health Innovation Fund initiative will establish a grant program to support community-designed and community-led initiatives that respect and reflect the unique practices and priorities of different pueblos, tribal nations, and rural communities. New Mexico's RHT Program application includes initiatives specifically designed to address known statewide rural and frontier challenges including varying access to a variety of health care services and supports, workforce recruitment and retention, and data infrastructure needs. The Rural Health Innovation Fund initiative will provide opportunities for rural communities to design and address community-specific challenges that require local solutions rather than a one-size-fits-all statewide approach.
For example, many rural, frontier, and tribal communities across New Mexico face challenges related to non-medical drivers of health, including food insecurity and transportation. Although these may be common statewide challenges, a solution for one community may not be fully applicable or best suited to serve another. The Rural Health Innovation Fund initiative will allow specific communities, providers, or community-based organizations to apply for grant funding to implement community-driven and community-led initiatives to address local health care challenges.
The State will establish specific Rural Health Innovation Fund participation guardrails, including:
• Parameters for receiving subgrant funding, including requiring a clear rationale for how the proposed program would benefit the rural organization and the community members they serve.
• A competitive application structure and review methodology to evaluate each subgrant application.
• An annual funding cycle to implement activities throughout each RHT Program year.
• A methodology to assess and avoid duplication of effort between the Rural Health Innovation Fund and other RHT Program activities or existing State-facilitated rural grants (e.g., New Mexico Rural Health Care Delivery Fund).
Each approved subgrantee would be eligible to receive one-time (i.e., non-recurring for the same initiative) funding and would be subject to all reporting requirements to submit data to the State as required by Federal guidance.
Potential uses of funds will be contingent upon specific subgrantee applications. As defined above, the intent of the Rural Health Innovation Fund is for specific communities, providers, or community-based organizations to apply for grant funding to implement community-driven and community-led projects to address local health care challenges.","Community-Designed and Community-Led Projects
Funded: Total number of funded projects that have reached full implementation within the reporting period (county-level);Percentage of Funded Projects Achieving Stated Objectives: Percentage of funded projects that meet at least 80% of proposed goals (as defined in the organization's approved subgrant application) within the reporting period;Community Reach of Community-Designed Projects: Number of community members served by community-designed programs;Reported Access to Additional Community Resources: Number of community members who report additional supports available in their communities",Active;Active;Active;Active
NM,Bridge to Resilience: Rural Health Sustainability & Innovation Center ,4,In progress,"In addition to assisting the HCA with managing RHT Program initiatives, the RHSIC will also directly support rural providers by coordinating and delivering high-impact technical assistance (e.g., operations, finance, service optimization, regional partnership coordination) to rural providers. Rural providers face several contextual and environmental challenges that make for unfavorable economic conditions. Declining population (e.g., 2I out of 33 rural New Mexico counties have lost population), economic stagnation, and heavy reliance on public programs (e.g., 37 percent of New Mexico Medicaid Members live in rural areas) present challenges and unique opportunities to innovate. The RHSIC will provide a suite of services aimed at supporting financially distressed rural providers with the tools and knowledge to operate more effectively and achieve sustainability.","Providers Requesting RHSIC Services: Number of providers that request a technical assistance service from the RHSIC (county-level);Proportion of Providers Accessing Center Services to Experience Improved Operating Margin: Percent of providers that complete a service with the RHSIC to see operating margin improvement;Rural Facilities in Financial Distress: Number of facilities (e.g., hospitals, clinics, FQHCs, tribal health centers, etc.) in financial distress based on assessment of key financial indicators (e.g., operating margin, days cash on hand, etc.) and audited financial statements;Rural Facilities Closures: Number of facilities (e.g., hospitals, clinics, FQHCs, tribal health centers, etc.) that close each year",Active;Active;Active;Active
NM,Rural Health Data Hub: Establishing a Health Analytics Platform ,5,In progress,"The Rural Health Data Hub initiative will build or expand secure and reliable internal (i.e., State) and external (i.e., provider) data infrastructure that enhances data informatic capabilities and capacity, improves the accuracy of predictive analytics, and provides data and health transparency across the State. It will also enable full integration of patient information across medical, behavioral, and social services, promoting a unified care experience for rural residents. In alignment with New Mexico's HHS IT Enterprise Project of 2020, the statewide analytics platform will bring together critical but disparate data sources into a unified picture, enabling identification of the highest-need rural geographies and populations, providing enhanced oversight and strategic planning capabilities (e.g., health care landscape and Medicaid contract negotiations), and improving outcome tracking, especially for difficult-to-manage chronic diseases.55 Leveraging secure, statewide longitudinal health and human services data, the system will include Medicaid claims, SYNCRONYS Health Information Exchange (HIE) clinical data, the State's all-payer data, public health data sources, behavioral health, closed loop referral system, and other state-owned data to produce timely analytics that improve rural access, quality, and financial sustainability. Through the Rural Health Data Hub, New Mexico will advance the following:
• Clarify the New Mexico health care landscape, needs, and drivers: Bringing siloed data sets into one centralized system offers the opportunity for in-depth data analysis to identify and fill gaps in the rural health landscape, and pinpoint and develop programs centered around the non-medical drivers of health.
• Predictive analytics: New Mexico is constantly evolving and, bringing together historical data and trends paired with predictive analytic capabilities, allows the State, providers, and the public to anticipate and prepare for shifts.
• Consumer and provider facing health care data transparency: Key to this initiative will be readily available interfaces so the data can be accessed, analyzed, and used to inform decision-making at the consumer, provider, region, and State level. The data system, housed within the HCA, will be publicly accessible through the RHSIC website and/or other public entry points, while ensuring the protection and security of all private, protected, and sensitive information.
• Financial transparency and patient empowerment: The initiative will explore tools such as a patient-facing cost calculator to provide clear, upfront information on care costs, supporting informed decision-making and provider sustainability.",Provider Participation in HIE: Number of providers enrolled in HIE and actively contributing data (county-level);Provider Participation in CLRS: Number of providers enrolled in CLRS and actively contributing data (county-level);Rural Health Data Hub Usage: Number and type of users that access the Rural Health Data Hub;Rural Health Data Hub Outages: Number of outages or downtime when the Rural Health Data Hub is unavailable for standard system maintenance or to address issues,Active;Active;Active;Active
NY,Rural Community Health Integration,1,In progress,"The Rural Community Health Integration initiative is designed to address the unique challenges faced by rural communities in NY by strengthening the rural health safety net. The initiative assists rural hospitals and community providers in building or growing integrated health networks to enhance health care delivery, coordination, and outcomes in rural areas while increasing the financial sustainability of the rural health network by encouraging collaborative partnerships with other health care organizations.","PPVs are emergency visits for ambulatory sensitive 
conditions which should be able to be reduced/averted
with adequate patient monitoring and follow-up. In 
general, the occurrence of high rates of PPVs represents 
a failure of the ambulatory care provided to the patient. In addition, when a PPV occurs shortly following a 
hospitalization, the PPV may be the result of actions taken 
or omitted during the hospital stay, such as incomplete 
treatment or poor care of the underlying problem and/or 
poor coordination with the primary care or specialist physician.;A hospital-level, risk-standardized readmission rate of unplanned, all cause readmission within 30 days of discharge from an index admission with an eligible condition or procedure.;Percentage of adults 45-75 years 
of age who had appropriate screening for 
colorectal cancer.;The number of schools engaged and newly established SBHCs.",Active;Active;Active;Active
NY,Strengthening Rural Health,2,In progress,"The Strengthening Rural Communities with Technology-Enhanced Primary Care(Strengthening Rural Communities) initiative is designed to leverage and expand historic investments in primary care in rural NY. The initiative aims to expand the number of Patient Centered Medical Home (PCMH)-recognized providers, no matter where the provider is in the recognition process at baseline. The PCMH model is evidence-based and has shown particular value in rural health care settings. Rural primary care practices that adopted PCMH have achieved outcomes comparable to their urban counterparts, including reduced hospital/emergency department use and improved quality indicators. A standout example is the Adirondack Medical Home Demonstration in upstate NY (a largely rural region): after becoming a PCMH, it produced lower total cost per patient (i.e., downward trend in per member per month spending) and raised patient satisfaction from 76% to 81% in two years. It also boosted primary care capacity locally, attracting 16 new physicians and enabling hiring of care managers – a critical, positive impact given rural provider shortages. Patients feel they get better access to care at PCMH practices versus non-PCMH practices.","The rate of emergency department visits defined as PPV per 100 people. Denominator population base by county was identified through the use of proprietary Claritas files.;Primary care practices that obtain PCMH recognition for 
the first time or obtain recognition after having lost it prior to the RHTP.;Percentage of adults 45-75 years of age who had appropriate screening for colorectal cancer.;Percentage of patients 18-75 years of age with diabetes who had hemoglobin A1c > 9.0% during the measurement period. Lower rate is better.",Active;Active;Active;Active
NY,Rural Roots: Workforce,3,In progress,"Rural Roots is a comprehensive program designed to solve health care staffing shortages in rural NY communities. Rural Roots will implement connected strategies: growing local talent by introducing students in grades 6-12 to health care careers and expanding training opportunities at rural facilities, supporting workplace training programs and EMS education so that health care workers can build their skills and advance their careers without leaving their communities, and recruiting health professionals to rural areas through multi-year service commitments funded partly by the practices that benefit from these new providers. The program will build a data system that tracks health care workforce trends, needed specialties, and existing gaps in each rural county. Together, these strategies will amplify a positive cycle that addresses  both immediate staffing shortages and builds long-term workforce capacity, ensuring rural communities have ongoing access to quality health care that meets their specific needs.","Count of the health care facilities and organizations actively 
serving as partners through participation in regularly scheduled meetings and data collection activities. Count of the rural counties represented by active partner participation.;Year-over-year percentage increase in the cumulative # of 
unique individuals who have participated in the Rural Roots program since program inception, including: 
• Long-term participants (e.g., 3-year rural rotations, nursing 
students in 1-year preceptorships)
• Short-term participants (e.g. students attending workshops and health care career events) Count of target rural counties that have at least one health care facility, educational institution, or community organization actively participating in any of the Rural Roots workforce development programs",Active;Active
NY,Investments in Cybersecurity & Technology,4,In progress,"The Investments in Technology Innovation and Cybersecurity Enhancements for Rural NY initiative will employ a two-pronged approach to advance rural health care in NY by investing in both innovative technologies and robust cybersecurity measures. The first prong centers on deploying innovative digital health tools and platforms that streamline care delivery, enhance patient access, and support data-driven decision-making for providers. The second prong focuses on fortifying the cybersecurity posture of rural health care facilities through advanced endpoint protection, multi-factor authentication, and comprehensive staff training, ensuring patient data remains secure while aligning technology standards across regions.","Count of telehealth access points created in schools, rural communities.;Count of providers by region entering into partnerships with specialists for consults using the secure virtual eConsult platform;Count of rural providers utilizing encounter alert services available through the SHINNY. This will be analyzed by county.;Percentage of facilities meeting cybersecurity goals including: detecting and responding to cybersecurity events, 
implementing security measures including encryption and fraud protection, and deploying monitoring and controls systems.",Active;Active;Active;Active
NC,"Build Rural Community Care Network ""Hubs""",1,In progress,"This first initiative will establish North Carolina Rural Organizations Orchestrating Transformation for Sustainability (“NC ROOTS”) Hubs across the state. NC ROOTS Hubs will be responsible for tailoring NCRHTP initiatives and activities to meet the specific rural needs and geography in that region, ensuring maximum impact.",Establish NC ROOTS hubs;Safety net provider hub participation;Deploy community based initiatives;Referral activity for hub services,Active;Active;Active;Active
NC,"Create Models & Capacity for Expanded Primary Care, Prevention, and Chronic Disease",2,In progress,"This initiative organizes programs and supports for rural communities to address priority public health issues in three areas: 1) Perinatal Health, 2) Chronic Disease, Prevention, Cancer and Physical Fitness, and 3) Food is Medicine. NC ROOTS Hubs will each pursue a minimum number of projects which closely align with the needs of their community and address the three focus areas.","Perinatal Care: Increase Access to Prenatal Care;Chronic Disease: Reduction in Chronic Disease High Cost 
Comorbidity Burden;Chronic care: Increase Patient Use of Self Monitoring Blood Pressure;Chronic Care: Decrease Tobacco Use;Food As Medicine: Increase access to healthy food prescriptions",Active;Active;Active;Active;Active
NC,Expand and Integrate Behavioral Health and Substance Use Disorder Services,3,In progress,"NC will implement a series of regional activities to expand the state’s successful programs and models into rural communities more robustly than has been possible given funding and operational barriers. Our approach is anchored in the state’s CCBHC model. CCBHCs are specially designated clinics that provide a full range of mental health and substance use services—like therapy, psychiatric care, peer support, and crisis intervention—all under one roof, with a focus on care coordination and accessibility. NCRHTP will fully expand CCBHC reach to rural communities, coordinated with the regional ROOTS Hubs, and with an enhanced and scaled menu of innovative programs, established infrastructure, and strong commitment to addressing unique rural behavioral health needs. NC is well positioned to lead this effort and set a national standard for integrated, community-based behavioral health (BH) care.","Establish New Rural CCBHCs*;Increase in Percent of Individuals Medicaid Members 
Beginning Mental Health Treatment;Decrease ED Utilization for Mental Health Needs;Decrease ED Utilization for Opioid Overdose;Decrease ED Occupancy for Youth Mental Health Needs",Active;Active;Active;Active;Active
NC,Build a Robust & Resilient Workforce & Innovative Care Team Models for Rural Communities,4,In progress,"This initiative strengthens and modernizes North Carolina’s rural health workforce through direct investment in CBOs to lead expanded education and training programs. We will achieve this by:
1. Expanding existing programs to support education, training, and placement into rural communities for more high-need provider types 
2. Ensuring sufficient staff/faculty to educate (precept, train, etc.) students 
3. Translating “train” into “retain” - keeping people in rural health positions where turnover is currently high, including high school outreach programs such as the NC Chamber High School to Healthcare program; and 
4. Leveraging data to tailor solutions to regional specific needs / avoiding one size fits all approach. 
NC proposes to undertake three projects in support of North Carolina’s statewide workforce development goals.",Increase Rural Residencies & Fellowship Programs;Increase EMS Professionals in Rural Communities;Improve Rural Clinician Vacancy Rates;Improve Rural County Primary Care Clinician Ratio,Active;Active;Active;Active
NC,Ensure Fiscal Sustainability of Rural Health Providers Through Innovative Financial Models,5,In progress,"This initiative will provide technical assistance, infrastructure funding and coordination of regional coalition networks to develop and administer paired rural value-based payment (VBP) strategies to build capacity for rural primary care providers and hospitals. VBP is a model that shifts health care payments from volume to value—rewarding providers for delivering high-quality, coordinated care rather than the number of services rendered. This approach is especially beneficial in rural settings, where providers often face financial instability and fragmented care systems. ","PCP Pilot - Adults' Access to Preventive /Ambulatory 
Health Care (AAP);PCP Pilot - Improving Perinatal Care: Well Child Visits;Value-Based Care -Primary Care;Hospital VBP Capacity Building Pilot - Reduce Transfers to Urban Hospitals",Active;Active;Active;Active
NC,Modernize Rural Care Delivery Through Digital Forward Solutions,6,In progress,"This initiative strengthens NC’s rural health infrastructure through a coordinated set of activities that leverage technology to ease the “business of health care”, while enhancing rural provider connectivity, interoperability, digital capacity, and addressing health data literacy gaps.",Rural Provider HIE Connectivity;AI Tools: Clinical Decision Support;Emerging tech: Provider Education;Rural Resident Engagement,Active;Active;Active;Active
ND,Strengthen and Stabilize Rural Health Workforce,1,In progress,"Workforce shortages are one of the most pressing threats to rural health access.  Measures such as provider retention and HPSA reduction directly measure whether  North Dakota is making progress in stabilizing the rural health workforce. By tracking both recruitment and retention, the state can ensure that rural communities are not only attracting providers—but keeping them. Monitoring the adoption of AI-assisted care and remote monitoring also reflects how innovation is being used to extend workforce capacity and improve care delivery in hard-to-reach areas. ",Increase the rural provider retention rate at 3 and 5 years.;Expand remote monitoring and AI-assisted care to reduce staffing needs;Recruit new rural providers;Reduce Health Professional Shortage Area (HPSA) counties,Active;Active;Active;Active
ND,"Make North Dakota Healthy Again | Preventive Care, Healthy Eating ",2,In progress,"Our focus is on improving the health of North Dakotans—not just the systems that serve them. Measures like obesity rates, cancer screenings, and chronic disease burden provide insight into whether care is becoming more proactive, preventive, and effective. Improvements in suicide prevention outcomes reflect better coordination and behavioral health integration. These indicators are critical for understanding whether the RHTP is delivering on its promise to improve lives, not just services. ",Improve youth and adult activity and reduce obesity;Increase preventive screening rates;Increase percentage of rural providers participating in ND Medicaid VBP/APMs;Reduce adverse actionable events per care episode;Reduce Chronic Disease Burden and Risk;Promote Mental Health and Prevent Suicide,Active;Active;Active;Active;Active;Active
ND,Bring High-Quality Health Care Closer to Home,3,In progress,"Access to care is not just about availability, it’s about proximity, timeliness, and coordination. These metrics measure how well care is being delivered closer to where people live, especially in underserved rural areas. Increased telehealth use and reduced emergency department use signal that residents are receiving timely, preventive, and coordinated care without needing to travel long distances. These are essential indicators of an innovative and responsive rural health system. ",Increase Telehealth / Remote Patient Monitoring (RPM) Encounters;Reduce avoidable ED visits;Improve Coordination of Care;Improve Getting Care Quickly;Improve Getting appointments with specialists as soon as needed,Active;Active;Active;Active;Active
ND,"Connect Tech, Data and Providers for a Stronger North Dakota",4,In progress,"A modern rural health system requires modern infrastructure. Metrics in this initiative reflect the state’s commitment to building a connected, data-driven ecosystem that reduces administrative burden and improves care coordination. Tracking interoperability and cooperative purchasing not only shows progress in efficiency, it also demonstrates how shared investments can drive statewide impact. These metrics are foundational to enabling smarter decisions and sustaining transformation over time. ",Implement all payer claims database (APCD);Modernized NDHHS Data Hub live with cross-program linkages;Annual tech cost savings via cooperative purchasing,Active;Active;Active
OH,Ohio Rural School Based Health Centers (SBHCs) ,1,In progress,"SBHCs improve access to healthcare for children and the community at large by adding to rural clinical infrastructure an accessible and sustainable way. Clinics operate on school grounds, are physically placed in a manner to provide access for community members while maintaining safe access for students and are commonly operated by a Federally Qualified Health Center (FQHC) or are integrated in a clinical network or rural health regional center of excellence. SBHCs provide primary prevention and sick care, screenings and exams (e.g., vision, hearing, etc.), dental care, behavioral health services, and can provide telehealth connections with specialty providers. In the RHT SBHCs, we plan to pilot the use of new, innovative technology that screens for autism spectrum disorder (ASD). This is an exciting opportunity because rural families often must travel to urban tertiary centers for ASD screening and this will provide that service close to home, improving the likelihood for children to be identified at a younger age which is known to improve outcomes for ASD. Ohio’s existing SBHCs have demonstrated improvement in student seat time, as primary care can be provided on the school campus with minimal interruption to learning. In addition to operating SBHCs in K-12 schools, Ohio will seek opportunities to operate SBHCs on college campuses serving rural communities. College sites are also prime location to provide clinical rotations for medical students, creating a pipeline of clinicians to serve in rural communities upon graduation. Each site will staff a community health worker or similar navigator to provide care and resource coordination for patients, conduct community outreach to engage residents in primary care at the SBHC, and to provide patient education and support for utilization of consumer tech and remote monitoring equipment. ODH provides technical assistance support for school districts and their partners during a planning phase to ensure that best practices are utilized in site and equipment selection, service delivery models, staffing, school
and community engagement, and sustainability strategies.",Percentage of student enrollment receiving care in RHT SBHCs;Percentage of SBHC patients who are non-students;Seat time savings for students;Reduce hemoglobin A1C for patients diagnosed with pre-diabetes and diabetes by 10%.;Percent of patients with systolic blood pressure managed at clinically appropriate levels for patients diagnosed with hypertension.,Active;Active;Active;Active;Active
OH,"OH SEE, vision, hearing, and dental services for rural students ",2,In progress,"Ohio will expand mobile optometric services to students in rural areas. OH SEE exists in 13 counties currently and will expand to statewide coverage using state general revenue funding to provide services in urban counties, and RHT funding for rural students. The program will add hearing and dental services. The OH SEE Program began in 2025, born out of recommendations from the Governor’s Vision Strikeforce. Data shows that 74% of students who failed their school-based vision screening did not complete a follow-up exam and, therefore, were not equipped with prescription eyeglasses where needed. Services are delivered either via mobile unit or via a roll-off/on approach with equipment brought into a school setting short-term. The program brings care where students are, for services that are needed cyclically and, therefore, are ideal for a mobile model. Appropriate vision, dental, and hearing care improve learning, promote good health, and prevent chronic conditions.  ",Percent of school districts in the 73 non-urban counties who are participating;Improvement in the number of students receiving follow-up eye exam after failed a screening;Percent of districts participating in dental and hearing services;Parent satisfaction in meeting the healthcare gap,Active;Active;Active;Active
OH,Ohio Rural Health Innovation Hubs,3,In progress,"The mission of the rural hubs is to address rural residents’ needs to close their healthcare gaps. Ohio is proposing to invest in establishing integrated networks by providing start-up funds for models that become self-sustaining, ensure that providers have the infrastructure they need to operate as part of a robust network, and to provide the supports needed for clinical professionals and paraprofessionals to operate at the highest level of their knowledge and credential. 
 
Clinically Integrated Networks (CINs) and Rural Health Regional Centers of Excellence (RHRCEs) are structured alliances or hub and spoke models among physicians, hospitals, clinics, emergency medical services (EMS), behavioral health, pharmacists, higher education, community resources, and other healthcare providers that collaborate to improve quality, efficiency, and coordination of patient care. The value of a CIN/RHRCE lies in its ability to align clinical, financial, and operational goals across the continuum of care, ultimately enhancing patient outcomes while controlling costs. Ohio will support planning, start-up costs, and expansion of CINs/RHRCEs to transform rural healthcare. Recognizing that there are a small number of networks in varying phases of development, while other rural areas do not yet have a network, we will provide funding in a tiered approach, providing incremental fiscal and technical supports with the goal of having every rural area of the state covered by a fully functioning, effective CIN or RHRCE by completion of the RHTP project period. 
 
Tier One – CINs/RHRCEs who are currently operating a small integrated alliance and can utilize funding to scale to a robust regional network. The goal is to fund these networks for a maximum of three years when they should be fully operational and financially independent. 
Tier Two – CINs/RHRCEs who have committed partners and a foundational plan or have operated a limited alliance for a short period of time. Funding will support additional start-up costs to prepare the network to scale regionally. The goal is to fund foundational start-up costs to support completion of planning for 2-3 years and for full implementation and scaling to take place in years 3-5. 
 
Projects will be awarded via competitive selection process. Projects are required to establish collaborative agreements that provide frameworks for shared services, implementation of practices to achieve value-based care for member practitioners, coordinated patient transfer models, telemedicine and remote patient monitoring, interoperability of data systems, and continuous improvement of care quality. Subrecipients must demonstrate ongoing integration efforts (e.g., establishing formal partner/member agreements, data collection and reporting of quality indicators, embedding technology in patient monitoring and care). 
 
Pharmacies are an important component of integrated networks, and funding can also be awarded to organizations with demonstrated experience or interest in coordinating the components needed to prepare rural pharmacies to integrate into the CINs/RHRCEs established as part of this initiative.  
 
To address maternity care deserts in rural areas, Ohio will propose a revision to current legislation which would allow rural hospitals who do not have birthing centers to provide labor and delivery care, provided by physicians or midwives, for low-risk births. This approach will create safe birthing options for families in rural areas so that they can deliver close to home without risk of delivery while enroute to a distant birthing center. This also adds to the sustainability of rural hospitals and discourages potentially unsafe home births. To protect the safety of mothers and babies, specific safety policies will be enforced. Midwives will be required to complete additional training in order to provide services in hospitals and participating hospitals must have
specific transfer agreements in place to facilitate specialty care if a mother or baby would need it. We anticipate implementation of this process in year two and Ohio will plan to provide financial supports to hospitals who need to equip maternity rooms. ","Number of participating members, by category, in each CIN or RHRCE;Rate of providers in the region who are members of the CIN/RHRCE;Reduce hemoglobin A1C for patients diagnosed with pre-diabetes and diabetes by 10%.;Percent of patients with systolic blood pressure managed at clinically appropriate levels for patients diagnosed with hypertension.;# of EMS diversions to a non-ED site",Active;Active;Active;Active;Active
